"Kobold",1,4,1,4,0,25,10,1
"Goblin",1,7,1,6,1,30,20,1
"Skeleton",1,8,1,6,1,25,20,0
"Ghoul",2,8,1,6,2,30,25,1
"Zombie",2,8,1,6,3,20,20,1
"Green Slime",10,20,1,2,1,80,30,0
"Gnoll",5,12,1,8,2,40,25,1
"Imp",8,10,1,8,5,40,30,1
"Lizard Man",6,13,1,8,6,45,35,1
"Hobgoblin",10,12,1,10,2,50,50,1
"Bugbear",10,15,1,8,3,40,55,1
"Gargoyle",10,25,1,6,4,45,60,1
"Hell Hound",8,12,1,10,5,40,75,1
"Manticore",10,15,1,10,7,45,80,1
"Minotaur",12,15,1,12,6,45,80,1
"Mummy",8,10,2,12,4,48,90,1
"Mind Flayer",14,20,1,15,4,49,100,1
"Hydra",20,30,2,9,5,45,200,1
"Clay Golem",50,51,3,20,3,50,250,1
"Flesh Golem",40,41,2,16,1,50,250,1
"Iron Golem",60,61,3,25,6,50,250,1
"Stone Golem",60,61,3,30,5,50,250,1
"Air Elemental",50,75,3,20,10,65,350,1
"Earth Elemental",50,75,3,20,10,65,350,1
"Fire Elemental",50,75,3,20,10,65,350,1
"Water Elemental",50,75,3,20,10,65,350,1
"Ghost",40,50,10,15,12,70,500,1
"Beholder",45,50,10,20,8,75,500,1
"Lich",80,100,30,60,15,80,1000,1

